SubjectID;VideoID;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;user-definedlabeln
1;11;2509763,356;381,6423408;11,38055096;21,0607654;27,98515278;16,96784237;148,2377592;2,290639419;0
1;11;2563708,318;730,0137333;21,6255592;26,49861335;35,8097519;7,481071474;99,3968248;0,950037512;0
1;11;2589090,224;1161,520737;61,21810712;7,005432294;26,02188044;20,579821;117,1649628;2,225953847;0
1;11;2499982,536;267,2727688;8,734322283;18,88680903;4,189221464;23,98711861;87,79446575;1,096660263;0
1;11;2492084,488;2144,129852;40,07322917;9,199459662;29,36024271;10,21956537;98,94296766;0,964584517;0
1;11;2444337,598;479,6969655;9,577521757;77,72352;42,10177128;10,86499568;96,5228032;1,696303486;0
1;11;2471619,717;532,3889869;16,76614235;11,60263271;13,56132809;7,696274731;83,39859182;2,011700043;0
1;11;2497120,454;675,9336894;18,03867245;20,4288202;10,23627058;10,32475986;70,67754557;1,110329459;0
1;11;2521178,189;629,7030181;11,68665991;5,863585589;11,48347221;16,64636851;93,69136433;0,776566317;0
1;11;2483108,812;357,144239;23,40580203;10,42784241;42,20985139;19,12778268;74,23472663;0,496096334;0
1;11;2557745,297;1350,84784;7,417036221;9,444320418;57,16633972;19,7392437;72,29845538;3,308280723;0
1;11;2553193,002;1347,119274;24,21030275;17,61733157;32,92341164;19,49742143;142,5098595;0,695902019;0
1;11;2489008,853;884,7882943;29,13556536;23,14863776;8,451860853;24,12202511;87,04696818;0,822380485;0
1;11;2471004,864;272,2029382;135,62216;13,68153659;16,39424843;12,21874479;93,71710685;0,863236721;0
1;11;2519077,971;499,6089182;20,19147647;6,477913592;17,2755792;17,97707471;84,40674427;0,584019518;0
1;11;2462098,9;1259,825586;31,58183221;11,80533231;14,79533465;9,802391766;108,7362367;1,701901401;0
1;11;2500283,374;399,3593816;21,0888453;13,15779581;13,52757087;5,406043524;160,4329625;0,683827641;0
1;11;2477119,35;664,916136;20,28969418;26,31824179;12,97569742;20,08118383;74,67055404;1,358304366;0
1;11;2499826,51;952,219287;11,14864764;6,159631757;13,52545062;15,0799951;70,97493404;2,696062182;0
1;11;2522838,084;801,4573138;35,12147166;3,654584401;15,06063046;14,81265791;106,4597747;2,100089222;0
1;11;2470767,138;1578,796504;36,86905252;2,140068981;22,47224273;19,20845573;115,5823847;1,615242039;0
1;11;2522832,132;614,8263437;29,5635482;30,35305539;22,57937279;14,81363762;122,6940458;2,089359615;0
1;11;2489556,07;353,9157635;43,14176624;4,41588789;5,91710943;9,502959304;89,16512725;0,849268783;0
1;11;2439476,918;901,4271596;41,80892293;10,48075921;25,13429119;25,93519558;65,32968435;1,256377617;0
1;11;2356882,508;332,7063566;15,74589404;14,92092824;36,06961226;46,3456225;154,1828026;1,965433829;0
1;11;2368799,204;1007,130396;63,14180637;43,79227594;52,90029895;41,3669512;171,8510209;1,334481209;0
1;11;2309473,678;517,4406509;13,71911156;31,82774018;16,13952444;64,45436968;234,7369525;2,700807656;0
1;11;2411919,056;288,1337082;22,42679438;14,97438915;13,09235969;22,77845877;126,2501873;2,364288438;0
1;11;2581190,594;346,9380224;100,9760492;7,362038659;10,28055525;23,74373811;128,0363013;1,883260796;0
1;11;2595250,272;550,1022639;35,15406598;22,13544752;30,69733622;20,14550636;122,4328366;1,712155673;0
1;11;2399415,815;266,4138476;21,86355734;14,53893532;31,47686985;21,24897093;174,9924941;2,448479431;0
1;11;2292970,483;872,3437469;15,40342637;2,914746949;24,46165138;58,50457606;318,1139503;1,413314961;0
1;11;2319089,004;789,9893745;76,19832459;14,46432835;13,3645749;54,76792853;303,3580175;2,031431196;0
1;11;2267419,314;364,024373;7,909594256;7,503303553;13,56305192;126,6806754;491,9710605;1,647922084;0
1;11;2297379,557;561,8364322;16,2772181;9,057839771;21,64810322;108,6133281;374,381606;0,781036451;0
1;11;2356466,12;1378,81971;23,67150606;11,31211369;2,337982148;31,6263845;253,1692059;2,157358623;0
1;11;2356356,738;408,5831152;97,96596511;26,63689816;28,7483592;44,66504029;183,5916855;2,045383505;0
1;11;2347171,756;417,5841491;11,22857989;16,94452681;5,682849145;40,64921641;269,5041733;2,533237537;0
1;11;2347280,695;507,5306429;54,57435171;15,68642387;23,38571746;31,87618129;192,9382318;1,195007993;0
